property,label
http://www.wikidata.org/entity/P10,video
http://www.wikidata.org/entity/P1000,record held
http://www.wikidata.org/entity/P1001,applies to jurisdiction
http://www.wikidata.org/entity/P1002,engine configuration
http://www.wikidata.org/entity/P1003,NLR (Romania) identifier
http://www.wikidata.org/entity/P1004,MusicBrainz place ID
http://www.wikidata.org/entity/P1005,PTBNP identifier
http://www.wikidata.org/entity/P1006,NTA identifier (Netherlands)
http://www.wikidata.org/entity/P1007,Lattes Platform number
http://www.wikidata.org/entity/P101,field of work
http://www.wikidata.org/entity/P1010,Iran statistics ID
http://www.wikidata.org/entity/P1011,excluding
http://www.wikidata.org/entity/P1012,including
http://www.wikidata.org/entity/P1013,criterion used
http://www.wikidata.org/entity/P1014,AAT identifier
http://www.wikidata.org/entity/P1015,BIBSYS identifier
http://www.wikidata.org/entity/P1016,asteroid taxonomy
http://www.wikidata.org/entity/P1017,BAV (Vatican Library) identifier
http://www.wikidata.org/entity/P1018,language regulatory body
http://www.wikidata.org/entity/P1019,feed URL
http://www.wikidata.org/entity/P102,member of political party
http://www.wikidata.org/entity/P1021,KldB-2010 occupation code
http://www.wikidata.org/entity/P1022,CNO-11 occupation code
http://www.wikidata.org/entity/P1023,SBC-2010 occupation code
http://www.wikidata.org/entity/P1024,SBFI occupation code
http://www.wikidata.org/entity/P1025,SUDOC editions
http://www.wikidata.org/entity/P1026,doctoral thesis
http://www.wikidata.org/entity/P1027,conferred by
http://www.wikidata.org/entity/P1028,donated by
http://www.wikidata.org/entity/P1029,crew member
http://www.wikidata.org/entity/P103,native language
http://www.wikidata.org/entity/P1030,light characteristic of a lighthouse
http://www.wikidata.org/entity/P1031,legal citation of this text
http://www.wikidata.org/entity/P1032,Digital Rights Management system
http://www.wikidata.org/entity/P1033,GHS signal word
http://www.wikidata.org/entity/P1034,main food source
http://www.wikidata.org/entity/P1035,honorific suffix
http://www.wikidata.org/entity/P1036,Dewey Decimal Classification
http://www.wikidata.org/entity/P1037,manager/director
http://www.wikidata.org/entity/P1038,relative
http://www.wikidata.org/entity/P1039,type of kinship
http://www.wikidata.org/entity/P1040,film editor
http://www.wikidata.org/entity/P1041,sockets supported
http://www.wikidata.org/entity/P1042,ZDB identifier
http://www.wikidata.org/entity/P1043,IDEO Job ID
http://www.wikidata.org/entity/P1044,SWB editions
http://www.wikidata.org/entity/P1045,Sycomore ID
http://www.wikidata.org/entity/P1046,discovery method
http://www.wikidata.org/entity/P1047,Catholic Hierarchy person ID
http://www.wikidata.org/entity/P1048,NCL identifier
http://www.wikidata.org/entity/P1049,deity of
http://www.wikidata.org/entity/P105,taxon rank
http://www.wikidata.org/entity/P1050,medical condition
http://www.wikidata.org/entity/P1051,PSH ID
http://www.wikidata.org/entity/P1052,Portuguese Job Code CPP-2010
http://www.wikidata.org/entity/P1053,ResearcherID
http://www.wikidata.org/entity/P1054,NDL editions
http://www.wikidata.org/entity/P1055,NLM Unique ID
http://www.wikidata.org/entity/P1056,product
http://www.wikidata.org/entity/P1057,chromosome
http://www.wikidata.org/entity/P1058,ERA Journal ID
http://www.wikidata.org/entity/P1059,CVR
http://www.wikidata.org/entity/P106,occupation
http://www.wikidata.org/entity/P1060,pathogen transmission process
http://www.wikidata.org/entity/P1064,track gauge
http://www.wikidata.org/entity/P1065,archive URL
http://www.wikidata.org/entity/P1066,student of
http://www.wikidata.org/entity/P1067,Thailand central administrative unit code
http://www.wikidata.org/entity/P1068,instruction set
http://www.wikidata.org/entity/P1069,Danemark Job Code (DISCO-08)
http://www.wikidata.org/entity/P1070,PlantList-ID
http://www.wikidata.org/entity/P1071,location of final assembly
http://www.wikidata.org/entity/P1072,readable file format
http://www.wikidata.org/entity/P1073,writable file format
http://www.wikidata.org/entity/P1074,fictional analog of
http://www.wikidata.org/entity/P1075,rector
http://www.wikidata.org/entity/P1076,ICTV virus ID
http://www.wikidata.org/entity/P1077,KOATUU identifier
http://www.wikidata.org/entity/P1078,valvetrain configuration
http://www.wikidata.org/entity/P1079,launch contractor
http://www.wikidata.org/entity/P108,employer
http://www.wikidata.org/entity/P1080,from fictional universe
http://www.wikidata.org/entity/P1081,Human Development Index
http://www.wikidata.org/entity/P1082,population
http://www.wikidata.org/entity/P1083,capacity
http://www.wikidata.org/entity/P1083,maximum capacity
http://www.wikidata.org/entity/P1084,EUL editions
http://www.wikidata.org/entity/P1085,LibraryThing work identifier
http://www.wikidata.org/entity/P1086,atomic number
http://www.wikidata.org/entity/P1087,ELO rating
http://www.wikidata.org/entity/P1087,Elo rating
http://www.wikidata.org/entity/P1088,Mohs' hardness
http://www.wikidata.org/entity/P109,signature
http://www.wikidata.org/entity/P1090,redshift
http://www.wikidata.org/entity/P1092,total produced
http://www.wikidata.org/entity/P1093,gross tonnage
http://www.wikidata.org/entity/P1096,orbital eccentricity
http://www.wikidata.org/entity/P1097,g-factor
http://www.wikidata.org/entity/P1098,number of speakers
http://www.wikidata.org/entity/P1099,number of masts
http://www.wikidata.org/entity/P110,illustrator
http://www.wikidata.org/entity/P1100,number of cylinders
http://www.wikidata.org/entity/P1101,floors above ground
http://www.wikidata.org/entity/P1102,flattening
http://www.wikidata.org/entity/P1103,number of platforms
http://www.wikidata.org/entity/P1103,number of platform tracks
http://www.wikidata.org/entity/P1104,number of pages
http://www.wikidata.org/entity/P1106,sandbox-quantity
http://www.wikidata.org/entity/P1107,proportion
http://www.wikidata.org/entity/P1108,electronegativity
http://www.wikidata.org/entity/P1109,refractive index
http://www.wikidata.org/entity/P111,measured physical quantity
http://www.wikidata.org/entity/P1110,attendance
http://www.wikidata.org/entity/P1111,votes received
http://www.wikidata.org/entity/P1112,Pok̩dex number
http://www.wikidata.org/entity/P1113,series length
http://www.wikidata.org/entity/P1114,quantity
http://www.wikidata.org/entity/P1115,ATVK ID
http://www.wikidata.org/entity/P1116,ELSTAT geographical code
http://www.wikidata.org/entity/P1117,pKa
http://www.wikidata.org/entity/P112,founder
http://www.wikidata.org/entity/P1120,number of deaths
http://www.wikidata.org/entity/P1121,oxidation state
http://www.wikidata.org/entity/P1122,spin quantum number
http://www.wikidata.org/entity/P1123,parity
http://www.wikidata.org/entity/P1124,TEU
http://www.wikidata.org/entity/P1125,Gini coefficient
http://www.wikidata.org/entity/P1126,isospin quantum number
http://www.wikidata.org/entity/P1127,isospin z-component
http://www.wikidata.org/entity/P1128,employees
http://www.wikidata.org/entity/P1129,national team caps
http://www.wikidata.org/entity/P113,airline hub
http://www.wikidata.org/entity/P1132,number of participants
http://www.wikidata.org/entity/P1133,DGO4 identifier
http://www.wikidata.org/entity/P1135,nomenclatural status
http://www.wikidata.org/entity/P1136,solved by
http://www.wikidata.org/entity/P1137,fossil found in this unit
http://www.wikidata.org/entity/P1138,Kunstindeks Danmark Artist ID
http://www.wikidata.org/entity/P1139,floors below ground
http://www.wikidata.org/entity/P114,airline alliance
http://www.wikidata.org/entity/P1140,EHAK id
http://www.wikidata.org/entity/P1141,number of processor cores
http://www.wikidata.org/entity/P1142,political ideology
http://www.wikidata.org/entity/P1143,BN (Argentine) editions
http://www.wikidata.org/entity/P1144,LCOC LCCN (bibliographic)
http://www.wikidata.org/entity/P1145,Lagrangian point
http://www.wikidata.org/entity/P1146,IAAF ID
http://www.wikidata.org/entity/P1148,neutron number
http://www.wikidata.org/entity/P1149,Library of Congress Classification
http://www.wikidata.org/entity/P115,home venue
http://www.wikidata.org/entity/P1150,Regensburg Classification
http://www.wikidata.org/entity/P1151,topic's main Wikimedia portal
http://www.wikidata.org/entity/P1152,IPTC Media Topic
http://www.wikidata.org/entity/P1153,Scopus Author ID
http://www.wikidata.org/entity/P1154,Scopus EID
http://www.wikidata.org/entity/P1155,Scopus Affiliation ID
http://www.wikidata.org/entity/P1156,Scopus Source ID
http://www.wikidata.org/entity/P1157,US Congress Bio identifier
http://www.wikidata.org/entity/P1158,location of landing
http://www.wikidata.org/entity/P1159,CODEN
http://www.wikidata.org/entity/P1160,ISO 4 abbreviation
http://www.wikidata.org/entity/P1161,Z39.5 abbreviation
